molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logS
2-methylpentane,13,0,0,0,0,2,0,2,86.177,0.044,323.765,323.765,0,0,0,489.164,0,0,0.0000039,0,0.9273379,12.138,2.828,2.619,-1.552,3.605,-3.74,-3.773,-2.708,9906.038,0.84,5899.293,0.132,11.427,-3.303,0,-0.047,3,100,0,0,0,0,0,0,0,0,0,6,-3.74
oxyphenbutazone129-20-4,0,0,0,0,0,4,1,-1,324.379,4.033,614.236,202.676,118.085,293.475,0,1076.339,1,5.75,0.0151138,0.0093612,0.8269183,37.155,11.32,16.963,10.243,2.72,-3.73,-4.412,-5.732,751.8,-0.829,363.439,-2.278,8.64,0.391,2,0.256,3,84.185,0,0,77.987,5,0,17,0,17,1,24,-3.73
sufentanil,0,1,0,0,0,8,0,1,386.551,5.824,688.933,342.61,25.427,277.404,43.491,1278.481,0,6.7,0.0265342,0,0.8268965,42.523,12.53,17.719,8.287,3.992,-3.654,-4.131,-6.382,1417.999,0.339,1381.719,-2.305,9.151,0.404,6,0.198,3,88.123,0,0,35.269,4,0,17,0,17,5,27,-3.71
dibenzylether,3,0,0,0,0,4,0,0,198.264,1.433,479.708,75.6,0,404.108,0,780.03,0,1.7,0.0026322,0,0.8542702,26.354,8.172,8.991,4.414,3.31,-3.7,-4.475,-5.817,9906.038,-0.434,5899.293,0.288,9.435,-0.221,3,0.258,3,100,0,0,6.466,1,0,12,0,12,0,15,-3.7
ketoprofen,0,0,0,1,0,4,0,-1,254.285,3.784,506.089,74.742,134.345,297.002,0,862.611,1,4,0.0165983,0.0079038,0.8659277,28.636,9.495,13.218,8.393,3.12,-3.7,-3.483,-3.31,133.509,-0.872,71.378,-2.565,9.895,0.707,1,-0.121,3,71.347,0,0,74.737,3,0,12,0,12,0,19,-3.7
3-methylpentane,13,0,0,0,0,2,0,2,86.177,0.027,317.358,317.358,0,0,0,482.353,0,0,0.0000015,0,0.9372578,11.866,2.864,2.54,-1.739,3.6,-3.68,-3.702,-2.547,9906.038,0.827,5899.293,0.085,11.505,-3.292,0,-0.067,3,100,0,0,0,0,0,0,0,0,0,6,-3.68
tolazamide1156-19-0,0,0,0,0,1,3,1,-1,311.398,7.313,558.399,314.361,120.411,123.121,0.505,984.256,1,5,0.0543283,0.0089542,0.8569574,32.485,9.323,15.311,8.935,2.69,-3.68,-3.771,-3.059,633.311,-0.709,346.219,-3.017,9.425,0.68,1,-0.108,3,79.136,0,6.586,85.512,6,0,13,0,6,6,21,-3.68
triamcinolone124-94-7,0,0,0,0,0,6,0,-2,394.439,7.773,582.714,285.314,201.488,81.244,14.669,1098.673,3,8.85,0.0549988,0.0263056,0.8836664,34.738,11.109,21.525,14.837,1.369,-3.285,-4.523,-3.802,121.672,-1.482,61.081,-4.371,10.086,0.509,5,-0.228,3,59.714,14.669,0,122.364,6,0,17,0,17,12,28,-3.68
acridine260-94-6,3,0,0,0,0,0,0,1,179.221,1.988,401.622,0,15.482,386.14,0,647.049,0,1,0.0061054,0,0.9008219,23.429,7.105,7.919,4.403,3.4,-3.67,-3.01,-4.978,7064.483,0.436,4093.6,-0.445,8.282,1.486,0,0.229,3,100,0,0,11.677,1,0,14,0,14,0,14,-3.67
alprostadil745-65-3,1,0,0,1,0,15,1,-2,354.486,4.305,764.645,527.568,234.103,2.973,0,1328.514,3,7.4,0.013951,0.0167623,0.7643334,37.41,13.109,20.369,11.546,3.009,-4.08,-4.173,-3.552,15.118,-3.012,6.777,-4.383,9.991,-0.701,6,-0.13,2,42.833,0,0,121.179,5,0,5,0,5,4,25,-3.67
desipramine,0,1,0,0,0,4,0,2,266.385,1.991,556.319,244.44,24.048,287.831,0,964.532,1,2,0.004111,0.0035951,0.8486317,32.627,9.582,12.773,5.732,4.9,-3.658,-3.337,-6.08,1461.34,0.498,824.72,-2.627,8.069,-0.172,6,0.684,3,93.283,0,0,15.842,2,0,15,0,12,2,20,-3.658
diazinon,2,0,0,0,0,7,2,1,304.343,5.241,590.054,485.593,1.855,49.795,52.811,1021.621,0,3.5,0.0268832,0,0.831381,30.712,8.403,11.391,3.412,3.81,-3.64,-4.878,-4.498,9512.738,0.253,10000,-0.706,8.874,1.266,2,0.35,3,100,0,0,38.764,5,0,6,0,6,0,19,-3.64
dexamethasone,0,0,0,0,0,5,0,-2,392.466,4.77,595.188,316.429,179.774,84.117,14.869,1133.856,3,8.15,0.0200646,0.0237172,0.88352,36.816,11.289,21.341,14.27,1.83,-3.64,-4.74,-3.818,195.482,-1.237,102.228,-4.056,9.799,0.857,4,-0.008,3,67.147,14.869,0,105.348,5,0,17,0,17,12,28,-3.64
PNU0179569,0,0,0,0,1,3,0,0,349.379,8.545,598.518,207.855,129.615,189.625,71.422,1049.775,1,7.5,0.0695497,0.012531,0.834614,35.743,10.502,18.457,13.137,1.993,-3.631,-3.628,-3.738,394.156,-0.683,681.544,-2.952,8.98,1.217,2,-0.431,3,74.236,31.465,21.494,90.036,6,0,16,0,16,2,24,-3.64
trimazosin35795-16-5,0,0,0,0,0,7,0,-2,435.479,8.595,754.143,556.392,145.388,52.363,0,1360.553,3,8.5,0.0542937,0.0195221,0.7873869,44.301,13.028,23.957,14.101,3.053,-5.665,-5.574,-5.222,414.18,-1.422,190.799,-3.342,8.087,0.877,4,0.289,2,67.214,0,0,123.471,11,1,16,0,16,4,31,-3.64
propranolol,0,1,0,0,0,7,0,1,259.347,1.985,558.782,239.106,42.859,276.817,0,949.601,2,3.95,0.0041508,0.009997,0.8361479,29.998,9.676,14.29,8.514,3.09,-3.62,-2.247,-6.23,969.099,0.131,529.048,-2.725,8.433,0.657,3,0.085,3,80.893,0,0,38.115,3,0,10,0,10,0,19,-3.62
PNU176839;216868-92-7,0,0,0,0,1,4,0,-2,411.45,12.406,665.737,262.461,225.073,85.433,92.77,1185.147,4,11.7,0.1298748,0.035149,0.8135362,39.523,12.548,27.573,22.554,-0.041,-3.533,-3.05,-3.582,38.299,-1.717,93.756,-4.983,8.69,0.538,2,-0.777,2,48.592,32.088,34.967,139.893,9,0,17,0,17,6,28,-3.6143171
Lorazepam,0,0,0,0,0,1,0,0,321.162,5.395,527.353,19.465,131.551,260.399,115.938,897.806,2,5.2,0.0324247,0.013945,0.8534644,31.621,10.552,17.155,11.526,2.51,-3.604,-4.407,-5.145,560.282,-0.416,1141.607,-2.931,9.361,1.173,1,0.026,3,82.807,0,0,77.38,4,0,17,0,12,1,21,-3.604
Naphthalene,8,0,0,0,0,0,0,1,128.173,0,335.267,0,0,335.267,0,518.5,0,0,0,0,0.930978,17.798,5.557,5.217,2.212,3.35,-3.6,-3.721,-4.248,9906.038,0.192,5899.293,-0.338,8.546,0.652,0,0.123,3,100,0,0,0,0,0,10,0,10,0,10,-3.6
alprazolam(Xanax),0,0,0,0,0,0,0,1,308.769,7.867,547.545,126.288,75.196,274.685,71.375,949.181,0,3,0.065205,0,0.853057,34.455,9.992,14.068,6.397,4.1,-5.334,-5.234,-5.22,1917.842,0.05,2460.54,-1.938,9.531,1.401,2,0.571,3,100,0,0,50.088,4,0,20,0,17,1,22,-3.6
PNU0180667,0,0,0,0,1,4,0,-2,359.356,11.572,624.416,209.482,187.208,196.112,31.613,1101.344,2,8.5,0.1215821,0.0192513,0.8259869,37.226,11.383,21.732,15.723,1.024,-3.56,-3.372,-3.909,115.647,-1.429,105.947,-3.895,8.43,0.996,2,-0.485,3,61.224,31.613,19.782,119.488,7,0,17,0,17,2,26,-3.56
atrazine,1,0,0,0,0,4,1,0,215.685,4.564,479.575,316.246,58.238,28.451,76.641,762.33,2,4,0.0273202,0.0117956,0.8415323,22.058,6.67,11.998,7.477,2.61,-3.55,-2.476,-4.232,2777.369,-0.038,3923.787,-2.109,8.947,0.084,0,-0.267,3,88.498,0,0,56.115,5,0,6,0,6,0,14,-3.55
sulfadiazine68-35-9,0,0,0,0,0,4,0,-2,250.275,7.045,458.526,0,176.264,281.135,1.126,752.901,2.5,7.5,0.0659241,0.0258623,0.8728905,24.094,8.959,16.562,14.101,-0.09,-3.51,-2.017,-4.929,211.051,-1.217,93.382,-3.394,9.031,0.5,3,-0.713,3,60.841,0,0,94.198,6,0,12,0,12,0,17,-3.51
diphenylamine,2,0,0,0,0,2,0,1,169.226,1.497,408.81,0,13.027,395.784,0,651.724,1,0.5,0.0034392,0.0012231,0.88924,22.424,7.333,8.626,5,3.5,-3.5,-2.751,-5.212,7453.628,0.333,4337.867,-0.173,7.848,0.073,4,0.159,3,100,0,0,11.365,1,0,12,0,12,0,13,-3.5
PNU0141236,0,0,0,0,1,2,0,-1,414.438,6.945,710.577,316.444,131.971,227.281,34.882,1264.79,1,9.5,0.0381309,0.0133694,0.7959749,45.349,12.551,22.302,16.887,2.074,-3.5,-4.294,-4.543,290.091,-0.86,406.613,-2.959,8.692,0.559,2,-0.263,3,75.088,34.882,35.413,107.984,9,0,23,0,23,6,30,-3.5
methylprednisolone,0,0,0,0,0,5,0,-2,374.476,5.228,599.382,332.847,192.539,73.996,0,1131.656,3,8.15,0.0241522,0.0235513,0.8762021,36.631,11.364,21.28,14.293,1.617,-3.49,-4.341,-3.888,147.93,-1.41,62.702,-4.327,9.662,0.742,4,-0.022,3,64.386,0,0,107.699,5,0,17,0,17,12,27,-3.49
bromazepam,0,0,0,0,0,0,0,0,316.156,6.686,504.967,49.421,113.762,265.481,76.302,839.963,1,4.5,0.0532128,0.0089115,0.8525945,29.997,9.37,14.782,9.438,1.69,-3.48,-4.729,-5.183,826.213,-0.293,1053.703,-2.681,9.327,1.112,2,0.054,3,86.855,0,0,70.827,4,0,17,0,12,1,19,-3.48
prednisone,0,0,0,0,0,4,1,-2,358.433,10.129,569.305,288.814,193.451,87.04,0,1071.722,2,8.45,0.0957235,0.0209907,0.8896275,34.999,10.74,20.477,13.367,1.46,-3.48,-4.014,-3.733,145.011,-1.307,61.366,-4.394,9.729,0.768,5,-0.16,3,63.925,0,0,113.048,5,0,17,0,17,11,26,-3.48
nitrofurantoin,0,0,0,0,0,4,0,-2,238.159,5.946,424.896,63.892,242.834,118.17,0,684.994,1,5,0.0516188,0.0117676,0.8844508,19.82,7.309,11.42,8.704,-0.374,-3.139,-2.735,-3.965,49.33,-1.747,19.132,-5.195,9.579,1.688,2,-0.575,3,50.568,0,0,143.547,9,0,10,0,10,1,17,-3.48
PNU0172660,0,0,0,0,0,2,0,-1,353.411,8.8,607.676,351.907,73.933,84.077,97.76,1066.02,1,8.2,0.0726405,0.013494,0.8304934,36.027,9.668,18.683,11.391,1.55,-3.47,-4.074,-4.676,1971.505,-0.032,3536.057,-2.394,8.84,0.927,1,-0.165,3,90.363,33.93,0,75.745,6,0,17,0,17,6,24,-3.47
1;3-diphenylureacis;trans,0,0,0,0,1,2,0,0,212.251,5.7,466.437,0,69.957,396.48,0,760.884,2,2,0.0427032,0.0060639,0.8641405,26.799,8.927,13.193,10.894,2.324,-3.45,-2.38,-4.247,1180.508,-0.182,1131.728,-1.22,8.586,0.371,2,-0.221,3,85.86,0,32.717,46.316,3,0,12,0,12,0,16,-3.45
labetalol,0,1,0,0,0,10,0,-2,328.41,5.583,659.273,170.406,189.965,298.903,0,1134.534,4,5.45,0.0274771,0.0165334,0.7979541,35.684,13.109,20.884,13.652,2.889,-3.371,-2.862,-6.953,39.027,-1.63,16.431,-5.07,9.291,0.244,5,0.007,3,51.013,0,0,101.888,5,0,12,0,12,0,24,-3.45
PNU0180266,0,0,0,0,1,2,0,0,303.173,7.602,501.116,186.54,99.575,98.554,116.447,814.197,1,5.2,0.0709696,0.0103768,0.8414847,26.087,8.055,13.79,11.085,1.48,-3.279,-3.498,-3.193,587.624,-0.209,2443.69,-2.815,9.49,1.441,2,-0.551,3,77.145,0,35.493,65.704,4,0,10,0,10,2,16,-3.44
doxepin1668-19-5,1,1,0,0,0,3,0,2,279.381,1.862,565.231,243.242,6.383,315.605,0,988.042,0,2.75,0.00351,0,0.8487691,34.475,9.655,12.36,5.317,4.29,-3.4,-3.422,-6.21,2149.182,0.722,1251.347,-2.3,8.694,0.384,3,0.623,3,100,0,0,13.578,2,0,15,0,12,1,21,-3.4
tolbutamide64-77-7,0,0,0,0,1,5,0,-2,270.346,7.994,559.715,300.078,131.635,128.002,0,923.008,1,3.5,0.0692261,0.0062532,0.819096,28.797,8.707,13.269,7.825,2.34,-3.39,-3.408,-3.695,417.147,-1.046,263.962,-3.015,9.769,0.618,1,-0.086,3,74.33,0,15.994,84.043,5,0,6,0,6,0,18,-3.39
malathion,0,0,0,0,0,9,5,-1,314.29,4.095,581.164,450.511,86.517,0,44.137,998.204,0,5.5,0.0168013,0,0.8311495,28.015,8.357,11.612,5.154,2.36,-3.37,-4.139,-4.264,1497.826,-0.706,1335.928,-2.25,8.966,1.108,2,-0.338,3,80.308,0,0,86.643,7,0,0,0,0,0,19,-3.37
nalidixicacid389-08-2,0,0,0,1,0,2,0,-1,232.238,8.254,466.689,212.976,149.858,103.856,0,771.769,0,4.5,0.0882707,0,0.8718918,24.44,7.135,11.378,6.559,1.59,-3.37,-2.598,-2.293,95.148,-0.871,49.495,-3.724,8.875,0.858,1,-0.591,3,65.835,0,0,88.294,5,0,10,0,10,0,17,-3.37
quinidine56-54-2,0,1,0,0,0,5,0,1,324.422,5.603,567.965,303.887,52.468,211.61,0,1054.147,1,5.45,0.0297845,0.0095957,0.8819502,34.843,10.209,15.883,8.612,3.44,-3.36,-3.329,-5.177,785.674,0.211,421.696,-3.324,8.581,0.757,4,0.239,3,82.457,0,0,44.193,4,0,18,0,18,7,24,-3.36
PNU0140641,2,0,0,0,1,3,0,-2,345.329,14.001,615.297,201.219,182.72,198.914,32.444,1063.857,1,8,0.1842718,0.0130019,0.8190983,36.395,10.769,20.56,14.092,0.496,-3.33,-3.327,-4.033,123.251,-1.353,119.029,-3.898,9.033,0.988,0,-0.503,3,63.231,32.444,21.655,119.555,7,0,16,0,16,2,25,-3.33
PNU0144755,0,0,0,0,1,3,1,-1,363.388,8.965,627.085,419.308,91.08,82.755,33.943,1114.58,1,8.7,0.0721033,0.0138737,0.8290475,37.315,9.793,19.138,12.738,1.616,-3.31,-3.451,-3.318,1073.434,-0.417,1054.81,-2.619,8.686,0.412,1,-0.506,3,80.644,33.943,12.741,88.635,7,0,20,3,17,9,26,-3.31
methylcyclopentane,14,0,0,0,0,0,0,2,84.161,0.065,297.869,297.869,0,0,0,444.011,0,0,0.0000096,0,0.9449341,11.615,2.523,2.534,-0.993,3.37,-3.3,-3.304,-2.423,9906.038,0.788,5899.293,-0.178,11.218,-3.435,0,-0.093,3,100,0,0,0,0,0,5,0,5,5,6,-3.3
Morphine,0,1,0,0,0,2,0,1,285.342,4.034,479.197,238.531,95.728,144.938,0,853.884,2,5.2,0.0190559,0.0153463,0.908343,28.118,8.546,14.916,10.119,0.89,-3.28,-2.391,-4.432,305.499,0.068,151.91,-4.644,8.886,-0.078,5,-0.083,3,72.24,0,0,56.133,4,0,18,0,18,8,21,-3.28
tetracycline60-54-8,1,1,0,0,0,7,0,-2,444.44,9.599,634.319,200.603,309.675,124.041,0,1201.796,3,8.25,0.0766769,0.0225272,0.8618099,38.632,13.141,23.329,15.172,-0.901,-3.145,-4.667,-5.086,2.859,-2.24,0.974,-8.18,8.809,0.875,10,0.025,1,21.818,0,0,189.064,10,1,18,0,18,6,32,-3.28
corticosterone,0,0,0,0,0,4,1,-2,346.466,3.062,578.773,390.183,159.436,29.154,0,1088.887,2,7.4,0.0086083,0.0180817,0.8843925,35.133,10.228,18.49,11.731,1.94,-3.24,-4.15,-3.542,304.765,-1.037,136.955,-3.971,9.701,0.453,5,0.044,3,72.162,0,0,91.115,4,0,17,0,17,14,25,-3.24
prednisolone50-24-8,0,0,0,0,0,5,0,-2,360.449,7.078,571.219,299.176,186.067,85.976,0,1081.746,3,8.15,0.0463081,0.0247124,0.8921659,34.748,11.008,20.944,14.263,1.62,-3.21,-4.033,-3.687,170.383,-1.296,73.049,-4.166,9.79,0.889,4,-0.117,3,64.342,0,0,107.816,5,0,17,0,17,12,26,-3.21
Nevirapine,0,0,0,0,0,0,0,0,266.302,2.736,510.721,214.253,71.253,225.215,0,872.001,1,5,0.0085875,0.0097901,0.8642898,30.894,8.629,14.14,9.354,2.454,-3.193,-3.371,-4.802,2090.303,-0.072,1097.636,-2.039,8.271,0.835,6,0.052,3,93.058,0,0,58.021,5,0,18,3,12,3,20,-3.193
PNU173995;216868-84-7,0,0,0,0,1,4,0,-2,410.462,7.148,701.888,358.495,160.375,88.97,94.047,1238.488,2,11.2,0.0412597,0.0225666,0.7946187,41.692,12.238,23.566,18.652,1.049,-3.182,-3.448,-3.905,163.304,-1.14,438.678,-3.778,8.387,0.935,1,-0.665,3,63.719,30.05,32.923,116.224,8,0,17,0,17,6,28,-3.1819092
pentane,13,0,0,0,0,2,0,2,72.15,0.02,301.334,301.334,0,0,0,438.765,0,0,0.0000009,0,0.926698,10.121,2.245,1.915,-1.54,3.39,-3.18,-3.25,-2.718,9906.038,0.795,5899.293,-0.214,11.4,-3.343,0,-0.193,3,100,0,0,0,0,0,0,0,0,0,5,-3.18
amiloride2609-46-3,0,0,1,0,0,4,0,-2,229.628,6.759,412.316,0,308.838,33.835,69.643,652.524,5,2.5,0.0700201,0.013558,0.8824006,17.715,8.218,15.931,11.97,-0.396,-1.721,-1.289,-3.596,11.673,-2.151,9.699,-8.771,8.368,0.484,1,-0.663,2,30.238,0,0,165.278,8,1,6,0,6,0,15,-3.18
PNU179759;216868-69-8,1,0,0,0,0,2,0,-1,384.483,13.204,643.599,332.916,121.957,89.18,99.546,1140.222,1,9.5,0.15291,0.0147607,0.8201169,39.045,10.862,21.779,15.62,1.794,-3.154,-2.944,-4.868,27.503,-0.522,1164.252,-3.261,9.091,1.226,2,-0.243,3,59.008,26.354,0,81.773,5,0,17,0,17,7,25,-3.1535134
alclofenac22131-79-9,0,0,0,1,0,5,0,-1,226.659,2.517,459.83,146.141,103.206,152.449,58.034,751.052,1,2.75,0.0084321,0.0059805,0.8689891,22.148,7.552,10.014,5.655,3.18,-3.335,-3.316,-2.571,263.513,-0.507,309.496,-2.404,9.427,0.351,3,-0.236,3,75.036,0,0,58.175,3,0,6,0,6,0,15,-3.13
PNU0173658,0,0,0,0,2,4,0,-2,396.393,5.686,692.919,353.259,200.355,77.166,62.138,1211.598,2,10.9,0.026681,0.0222464,0.7932105,40.503,11.521,22.795,21.024,-0.032,-3.12,-2.612,-2.497,36.654,-1.648,114.169,-4.556,9.34,1.468,2,-0.998,2,48.33,62.138,66.811,121.836,8,0,17,0,17,6,28,-3.12
cortisone,0,0,0,0,0,4,1,-2,360.449,7.153,563.702,350.481,184.931,28.291,0,1076.659,2,8.45,0.0475277,0.0211993,0.9012267,34.636,10.357,19.59,12.896,1.47,-3.11,-4.059,-3.265,174.662,-1.196,75.034,-4.444,9.67,0.467,6,-0.137,3,65.355,0,0,111.053,5,0,17,0,17,13,26,-3.11
cyclohexane,14,0,0,0,0,0,0,2,84.161,0,293.054,293.054,0,0,0,436.159,0,0,0,0,0.9491058,11.301,2.485,2.431,-1.071,2.86,-3.1,-3.223,-2.356,9906.038,0.779,5899.293,-0.232,11.34,-3.511,0,-0.116,3,100,0,0,0,0,0,6,0,6,6,6,-3.1
hydrocortisone,0,0,0,0,0,5,0,-2,362.465,7.974,576.756,372.381,175.553,28.823,0,1094.761,3,8.15,0.0580746,0.0244752,0.8906739,34.723,10.641,20.952,13.816,1.61,-3.09,-4.077,-3.438,214.352,-1.213,93.622,-4.173,9.577,0.33,5,-0.089,3,66.301,0,0,105.167,5,0,17,0,17,14,26,-3.09
PNU0244183,0,0,0,0,1,3,0,-2,330.318,7.869,591.108,178.572,151.037,226.514,34.985,1017.274,1,8.5,0.0608677,0.0143798,0.8275424,34.794,10.278,18.498,15.514,1.06,-2.948,-2.779,-4.028,191.498,-1.002,259.611,-3.217,9.213,1.102,3,-0.713,3,65.202,34.985,35.358,104.056,7,0,17,0,17,2,24,-3.06
biotin58-85-5,0,0,0,1,0,5,0,-2,244.308,5.446,475.812,224.093,212.227,0,39.492,785.579,3,4.5,0.0377602,0.0163809,0.8653458,22.074,7.902,14.44,10.045,1.253,-3.05,-2.756,-1.903,24.375,-1.53,18.69,-4.951,9.405,-0.11,1,-0.523,2,50.298,0,0,106.892,5,0,8,0,8,4,16,-3.05
thiolutin87-11-6,2,0,0,0,0,1,1,0,228.283,8.363,410.913,150.522,117.357,43.563,99.471,675.162,0.25,5.75,0.1036006,0.0069966,0.9057764,20.64,6.502,11.632,7.647,0.701,-3.04,-2.144,-3.264,763.842,-0.206,1296.556,-3.433,8.753,2.888,0,-0.745,3,76.811,0,0,72.579,4,0,8,0,8,0,14,-3.04
chlorpropamide94-20-2,1,0,0,0,1,4,0,-1,276.737,7.591,518.338,178.781,131.62,136.336,71.6,846.167,1,3.5,0.0681017,0.0067524,0.8346858,26.443,8.532,12.872,8.018,2.27,-3.03,-3.558,-3.483,418.227,-0.761,651.504,-3.081,9.846,0.87,0,-0.245,3,74.712,0,15.871,83.961,5,0,6,0,6,0,17,-3.03
benzothiophene,6,0,0,0,0,0,0,1,134.195,1.395,322.496,0,0,271.685,50.811,491.629,0,0,0.0039584,0,0.9341138,16.116,5.205,4.837,2.361,3.123,-3.094,-3.428,-3.894,9906.038,0.192,10000,-0.562,8.676,0.654,1,0.045,3,100,0,0,0,0,0,9,0,9,0,9,-3.01
PNU0096403,0,0,0,0,1,3,0,-1,329.33,10.077,592.533,181.327,131.384,247.598,32.224,1023.088,1,7.5,0.0992586,0.0126575,0.8286946,35.228,10.366,18.564,13.553,1.552,-3.069,-3.167,-4.11,375.679,-0.814,398.695,-2.781,9.054,0.812,2,-0.503,3,72.667,32.224,22.006,91.808,6,0,17,0,17,2,24,-3.01
heptabarbital509-86-4,0,0,0,0,0,1,0,0,250.297,1.551,430.99,296.876,134.114,0,0,773.078,2,4,0.0031107,0.0131253,0.9451777,24.142,7.31,12.711,8.317,2.03,-3,-3.234,-2.419,529.782,-0.498,248.961,-3.895,9.835,0.54,2,-0.051,3,77.557,0,0,100.202,5,0,13,0,6,6,18,-3
nitrofurazone59-87-0,0,0,0,0,1,4,0,-2,198.138,10.246,397.569,23.409,258.234,115.927,0,612.652,3,3.5,0.1713396,0.0152481,0.8774614,16.903,7.021,14.191,13.219,-0.227,-1.873,-1.425,-2.693,16.6,-1.914,13.302,-5.486,9.304,1.419,2,-0.924,2,38.72,0,41.074,134.038,8,0,5,0,5,0,14,-2.97
diltiazem,0,1,0,0,0,5,1,1,414.518,3.642,711.24,379.19,60.217,245.115,26.718,1303.265,0,8.25,0.0101801,0,0.8112801,45.133,12.683,19.326,10.54,3.225,-2.95,-4.06,-6.481,663.381,0.116,491.969,-3.348,8.982,0.812,5,-0.018,3,82.347,0,0,69.455,6,0,17,0,12,2,29,-2.95
sulfisoxazole127-69-5,0,0,0,0,0,4,0,-2,267.302,7.955,491.723,154.666,174.988,162.069,0,825.294,2.5,7,0.0766758,0.0225086,0.8653341,25.854,8.794,16.842,12.869,1.01,-2.95,-2.522,-4.484,217.015,-1.236,94.88,-3.79,9.169,0.697,3,-0.514,3,63.073,0,0,100.032,6,0,11,0,11,0,18,-2.95
phenolphthalein,0,0,0,0,0,2,0,-2,318.328,8.037,557.888,0,167.409,390.479,0,976.393,2,4.5,0.0661505,0.0114072,0.8531671,35.366,11.674,18.349,11.777,2.41,-2.9,-4.603,-5.77,256.072,-1.09,113.464,-3.037,9.217,0.741,2,0.289,3,77.085,0,0,83.614,4,0,21,0,21,1,24,-2.9
trimethoprim,0,0,0,0,0,7,0,-2,290.321,1.351,535.103,301.639,146.867,86.597,0,926.475,4,5.25,0.0019707,0.0196224,0.8589144,27.256,9.378,17.185,12.08,0.91,-2.86,-3.305,-4.228,401.014,-1.186,184.252,-3.249,8.375,0.022,5,-0.282,3,68.342,0,0,96.175,7,0,12,0,12,0,21,-2.86
doxycycline564-25-0,1,1,0,0,0,7,0,-2,444.44,10.992,641.469,214.728,298.454,128.287,0,1205.076,3,9.2,0.1002681,0.0248412,0.8537526,38.804,13.112,24.148,16.077,0.071,-2.775,-4.3,-5.236,3.652,-2.19,1.27,-7.959,9.36,1.008,11,-0.119,1,22.297,0,0,189.725,10,1,18,0,18,6,32,-2.85
PNU0177581,1,0,0,0,1,3,0,0,280.341,8.144,537.015,269.245,103.703,121.869,42.198,911.372,1,6.5,0.0727821,0.012104,0.8465302,29.557,8.738,15.419,11.422,1.273,-2.85,-2.457,-3.222,682.963,-0.479,868.972,-2.713,8.727,0.46,0,-0.584,3,75.913,0,22.373,78.98,5,0,11,0,11,2,19,-2.85
PNU184435;273376-88-8,0,0,0,0,0,2,0,-1,399.497,9.569,658.663,346.186,117.572,86.457,108.447,1171.229,1,10.5,0.0781753,0.0159414,0.8158242,40.26,11.158,21.73,16.596,1.931,-2.846,-2.866,-4.924,30.267,-0.469,1444.635,-3.19,8.598,1.124,1,-0.369,3,58.859,27.305,0,84.506,6,0,18,0,11,7,26,-2.8456387
p-chloroacetanilide,1,0,0,0,0,1,0,1,169.61,5.87,385.559,94.415,58.055,161.444,71.645,591.642,1,2.5,0.058244,0.0064841,0.8839883,18.423,5.807,9.275,5.872,2.12,-2.843,-2.097,-4.179,2788.436,0.184,3700.009,-1.925,8.766,0.249,0,-0.279,3,91.542,0,0,38.179,2,0,6,0,6,0,11,-2.843
alprenolol,0,1,0,0,0,9,0,1,249.352,1.956,577.125,347.552,37.533,192.041,0,979.132,2,3.95,0.003908,0.0096793,0.8262708,29.086,9.308,13.709,7.504,3.1,-2.561,-2.023,-5.985,1088.626,0.053,599.917,-2.733,9.182,-0.095,4,0.072,3,79.662,0,0,37.796,3,0,6,0,6,0,18,-2.83
Styrene,9,0,0,0,0,1,0,1,104.151,0.018,315.808,64.721,0,251.087,0,475.882,0,0,0.0000007,0,0.933415,14.647,4.518,3.948,0.982,2.95,-2.82,-2.77,-3.807,9906.038,0.321,5899.293,-0.539,9.018,0.218,0,-0.043,3,100,0,0,0,0,0,6,0,6,0,8,-2.82
dapsone80-08-0,0,0,0,0,0,4,0,-2,248.299,8.964,463.283,0,189.421,273.861,0,774.122,3,6,0.1037959,0.0224319,0.8800866,24.873,9.371,17.341,13.407,0.97,-2.82,-2.387,-4.778,158.349,-1.308,67.489,-3.662,8.853,0.305,2,-0.491,3,61.049,0,0,86.13,4,0,12,0,12,0,17,-2.82
quinine130-95-0,0,1,0,0,0,5,0,1,324.422,3.742,583.595,342.481,42.481,198.633,0,1050.224,1,5.45,0.0133318,0.0093387,0.8561994,34.562,9.928,15.402,8.494,3.44,-2.81,-3.329,-5.532,977.132,0.274,533.79,-3.185,8.562,0.74,4,0.217,3,84.038,0,0,40.257,4,0,18,0,18,7,24,-2.81
PNU177553;216868-86-9,0,0,0,0,0,2,0,-1,385.471,9.089,636.29,324.306,119.608,85.487,106.888,1125.012,1,10.5,0.0734224,0.0165019,0.8221439,38.401,10.712,21.026,16.549,1.621,-2.808,-2.545,-4.818,28.951,-0.474,1350.059,-3.231,8.688,1.153,1,-0.479,3,57.147,27.394,0,84.63,6,0,17,0,17,6,25,-2.8078405
