molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rctvFG,CNS,MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metabol,QPlogKhsa,HumanAbs,QP%HumanAbs,SAfluorine,SAamideO,PSA,#NandO,RuleOf5,#ringatoms,#in34,#in56,#noncon,#nonHatm,logPow
sulfamethiazole144-82-1,0,0,0,0,0,4,0,-2,270.324,8.799,484.153,95.104,200.789,158.082,30.178,792.736,2.5,7.5,0.0976739,0.0244934,0.8555947,24.513,8.773,17.169,13.502,0.062,-2.39,-2.418,-4.623,123.544,-1.432,75.515,-4.279,9.209,1.114,2,-0.656,2,59.776,0,0,102.7,6,0,11,0,11,0,17,0.54
methylphenylsulfoxide,2,0,0,0,0,1,0,1,140.2,5.846,340.788,83.697,41.032,195.097,20.962,525.104,0,4,0.0650796,0,0.9236573,16.082,4.999,7.702,8.372,0.797,0.791,0.736,-3.698,160.989,0.234,2917.788,-1.492,9.019,0.461,1,-0.97,3,100,0,0,19.217,1,0,6,0,6,0,9,0.55
cycloheximide66-81-9,0,0,0,0,0,8,1,-2,281.351,8.118,544.339,349.669,185.847,8.823,0,946.492,1,7.2,0.0696344,0.0132271,0.8564599,26.672,8.608,14.631,9.145,0.975,-2.381,-2.846,-3.897,171.203,-1.608,73.429,-4.146,10.419,-0.149,5,-0.511,3,53.834,0,0,104.511,5,0,6,0,6,5,20,0.55
sulpiride15676-16-1,0,1,0,0,0,7,0,-2,341.424,10.811,611.126,338.973,183.012,87.536,1.606,1079.792,3,9.75,0.1082339,0.0276334,0.8329021,33.401,10.833,21.911,15.484,0.233,-1.898,-1.848,-5.379,45.425,-1.215,19.757,-5.975,9.434,0.779,2,-0.508,2,59.542,0,0,108.44,7,0,11,0,11,4,23,0.57
propanal,9,0,0,0,0,1,0,0,58.08,3.458,240.105,165.602,74.504,0,0,327.904,0,2,0.0364704,0,0.9577701,6.327,1.839,2.634,2.553,-0.055,0.443,0.486,-2.215,1947.077,-0.038,1016.574,-2.797,10.652,-0.728,1,-1.008,3,80.027,0,0,38.339,1,0,0,0,0,0,4,0.59
etoposide33419-42-0,0,0,0,0,0,7,4,-2,588.564,11.164,738.978,504.201,160.989,73.788,0,1500.68,3,16.95,0.0830457,0.0397282,0.8578122,50.113,14.317,31.438,22.64,0.666,-2.973,-5.642,-4.185,294.605,-1.317,132.027,-3.555,8.6,0.166,8,-0.688,3,63.957,0,0,159.703,13,2,32,0,32,13,42,0.6
benzamide,3,0,0,0,0,1,0,-1,121.138,5.085,312.996,0,110.709,202.288,0,470.375,2,2.5,0.0549633,0.0112958,0.9345198,13.96,5.36,9.192,7.772,0.518,-1.003,-0.953,-3.556,883.18,-0.342,432.55,-2.751,9.836,0.304,0,-0.607,3,84.247,0,0,52.643,2,0,6,0,6,0,9,0.64
benzamidine,4,0,1,0,0,3,0,-1,120.154,4.226,320.238,0,108.842,211.396,0,482.332,3,1.5,0.0370237,0.0081129,0.9288015,13.241,5.707,9.537,7.878,0.666,-0.618,0.33,-3.692,919.919,-0.458,452.031,-4.555,8.522,0.28,0,-0.713,3,85.277,0,0,48.217,2,0,6,0,6,0,9,0.65
pyridine,9,0,0,0,0,0,0,1,79.101,2.195,258.225,0,27.892,230.333,0,365.776,0,1.5,0.0131698,0,0.9578799,10.684,3.597,3.738,3.574,1.028,-0.325,-0.282,-3.312,5387.661,0.361,3054.268,-1.222,10.051,0.057,1,-0.721,3,100,0,0,12.819,1,0,6,0,6,0,6,0.65
barbital,4,0,0,0,0,2,0,-1,184.194,0.955,347.193,200.831,146.362,0,0,576.953,2,4,0.0015819,0.0162931,0.9653562,15.651,5.673,9.737,7.978,0.221,-1.202,-1.818,-2.093,405.464,-0.604,186.463,-4.025,10.971,0.61,0,-0.525,3,62.759,0,0,101.399,5,0,6,0,6,1,13,0.65
dihydropyran110-87-2,11,0,0,0,0,0,0,0,84.118,1.312,253.889,163.432,0,90.457,0,373.437,0,1.7,0.0046113,0,0.9877928,9.655,2.904,3.041,2.62,0.825,-0.243,-0.243,-2.161,9906.038,-0.258,5899.293,-1.201,9.312,-1.123,1,-0.753,3,100,0,0,8.703,1,0,6,0,6,3,6,0.69
phenylthiourea,0,0,0,0,0,1,0,0,152.214,7.584,353.412,0,69.692,203.371,80.349,541.138,3,2.5,0.1062844,0.0122524,0.9087053,16.802,6.38,12.494,9.091,1.314,-1.813,-1.365,-3.979,2162.781,0.138,3137.704,-1.991,8.587,0.738,1,-0.545,3,94.173,0,0,43.341,2,0,6,0,6,0,10,0.71
NADOLOL,0,1,0,0,0,9,0,-1,309.405,4.117,621.346,379.498,123.118,118.73,0,1084.928,4,6.85,0.0156193,0.0220489,0.8217993,32.62,10.883,19.895,13.48,1.576,-2.318,-2.004,-5.708,167.985,-0.796,79.586,-4.569,9.056,-0.123,7,-0.23,3,75.928,0,0,78.605,5,0,10,0,10,4,22,0.71
ethylacetate,9,0,0,0,0,1,1,0,88.106,2.99,307.664,241.527,66.137,0,0,432.941,0,2,0.0206443,0,0.8995812,10.53,2.328,3.739,2.659,0.688,-0.837,-0.259,-3.157,2337.347,-0.042,1238.5,-2.642,11.176,-1.022,0,-0.703,3,82.038,0,0,38.717,2,0,0,0,0,0,6,0.73
pyrrole,11,0,0,0,0,0,0,1,67.09,2.868,236.306,0,31.203,205.104,0,323.918,1,0.5,0.0253879,0.0021159,0.9652648,8.768,3.261,4.143,3.852,0.983,-0.243,-0.343,-3.072,5011.938,0.34,2824.707,-1.372,9.086,-1.239,0,-0.669,3,100,0,0,13.907,1,0,5,0,5,0,5,0.75
isobutanol,11,0,0,0,0,2,0,1,74.122,1.859,272.753,223.465,49.287,0,0,393.394,1,1.7,0.0087814,0.0062327,0.9519506,8.305,2.601,4.06,3.409,0.669,-0.392,-0.349,-2.309,3376.821,0.08,1843.337,-2.236,10.908,-3.107,1,-0.694,3,86.087,0,0,21.905,1,0,0,0,0,0,5,0.76
tocainide41708-72-9,0,1,0,0,0,3,0,1,192.26,4.435,435.803,227.863,79.843,128.097,0,724.82,3,3.5,0.0271391,0.0139104,0.8954239,22.15,7.181,13.27,9.362,1.107,-1.121,-0.742,-4.561,432.169,0.117,221.011,-4.314,9.194,0.096,6,-0.293,3,86.926,0,0,55.19,3,0,6,0,6,0,14,0.76
mescaline,1,1,0,0,0,6,0,1,211.26,0.864,454.078,332.371,64.007,57.701,0,759.862,2,3.25,0.0009814,0.010122,0.8868648,20.954,6.638,10.596,6.447,1.616,-1.133,-1.407,-4.364,610.696,0.058,321.168,-3.982,9.282,0.176,6,-0.231,3,86.235,0,0,48.633,4,0,6,0,6,0,15,0.78
butyricacid,8,0,0,1,0,2,0,-1,88.106,2.295,282.487,173.066,109.421,0,0,405.012,1,2,0.0129995,0.00708,0.9371569,8.77,2.975,4.718,4.137,0.736,-0.504,-0.541,-0.741,230.071,-0.388,128.539,-3.344,11.353,-0.908,1,-0.865,3,61.75,0,0,51.583,2,0,0,0,0,0,6,0.79
methanethiol,11,0,0,0,0,0,1,1,48.103,1.668,195.792,106.111,0,0,89.68,246.845,0.8,0.5,0.0112704,0.0022841,0.9719728,3.725,1.287,1.885,1.886,1.293,0.044,0.044,-1.986,9906.038,0.176,10000,-1.52,9.224,-0.409,1,-0.848,3,100,0,0,0,0,0,0,0,0,0,2,0.79
resorcinol,6,0,0,0,0,2,0,-1,110.112,1.472,290.774,0,109.336,181.438,0,425.834,2,1.5,0.005091,0.0072954,0.9413888,11.336,4.776,6.99,6.362,0.522,-0.542,-0.901,-3.346,910.046,-0.38,446.789,-2.703,8.995,-0.234,2,-0.685,3,83.245,0,0,45.087,2,0,6,0,6,0,8,0.8
phenylurea,0,0,0,0,1,1,0,-1,136.153,5.46,334.108,0,130.452,203.656,0,506.45,3,2,0.0588569,0.0103682,0.9196779,15.417,5.974,11.013,12.409,-0.105,0.382,-0.488,-2.429,243.004,-0.525,271.436,-3.11,9.026,0.223,1,-0.916,3,79.59,0,46.886,64.122,3,0,6,0,6,0,10,0.83
piperidine(equatorial),11,1,0,0,0,0,0,2,85.149,1.067,282.82,253.734,29.086,0,0,415.459,1,1.5,0.0027392,0.0053037,0.9520811,10.473,2.717,4.592,3.54,0.482,0.3,0.632,-3.034,1309.12,0.748,732.269,-4.118,9.18,-2.91,0,-0.532,3,90.941,0,0,15.371,1,0,6,0,6,5,6,0.84
1-butanol,10,0,0,0,0,3,0,0,74.122,1.938,281.304,225.011,56.293,0,0,401.307,1,1.7,0.0093632,0.0060433,0.9353472,7.98,2.534,3.93,3.256,0.664,-0.372,-0.349,-2.578,2897.804,-0.046,1562.399,-2.269,10.902,-3.026,1,-0.722,3,84.403,0,0,23.066,1,0,0,0,0,0,5,0.88
procainamide,0,1,0,0,0,7,0,0,235.328,6.432,548.304,282.674,111.712,153.918,0,907.972,2.5,5.5,0.0455632,0.0158603,0.8270367,27.158,8.959,15.532,10.38,1.374,-1.95,-1.14,-5.791,215.492,-0.549,104.171,-4.427,8.595,0.085,2,-0.289,3,80.916,0,0,67.193,4,0,6,0,6,0,17,0.88
ethylether,11,0,0,0,0,2,0,1,74.122,1.504,292.355,292.355,0,0,0,411.91,0,1.7,0.0054914,0,0.9157765,9.046,1.798,2.518,1.656,1.023,-0.644,-0.644,-2.895,9906.038,0,5899.293,-1.983,10.51,-2.807,1,-0.726,3,100,0,0,8.242,1,0,0,0,0,0,5,0.89
Morphine,0,1,0,0,0,2,0,1,285.342,4.034,479.197,238.531,95.728,144.938,0,853.884,2,5.2,0.0190559,0.0153463,0.908343,28.118,8.546,14.916,10.119,1.395,-1.761,-2.391,-4.432,305.499,0.068,151.91,-4.644,8.886,-0.078,5,-0.083,3,84.184,0,0,56.133,4,0,18,0,18,8,21,0.89
Aniline,6,0,0,0,0,1,0,1,93.128,2.338,280.85,0,60.65,220.2,0,408.149,1.5,1,0.0133883,0.0043608,0.9474795,11.641,4.463,6.079,5.267,1.053,-0.686,-0.729,-3.432,2634.875,0.053,1409.749,-1.766,8.354,-0.414,2,-0.595,3,100,0,0,25.847,1,0,6,0,6,0,7,0.9
trimethoprim,0,0,0,0,0,7,0,-2,290.321,1.351,535.103,301.639,146.867,86.597,0,926.475,4,5.25,0.0019707,0.0196224,0.8589144,27.256,9.378,17.185,12.08,1.538,-2.824,-3.305,-4.228,401.014,-1.186,184.252,-3.249,8.375,0.022,5,-0.282,3,68.168,0,0,96.175,7,0,12,0,12,0,21,0.91
1-methylpyrrolidine(eq),11,1,0,0,0,0,0,2,85.149,0.848,289.226,280.593,8.633,0,0,428.164,0,2,0.0016792,0,0.9498782,10.981,2.464,3.466,2.444,0.528,0.569,1.022,-3.069,2046.131,0.898,1186.62,-3.741,9.208,-2.925,1,-0.674,3,95.856,0,0,6.374,1,0,5,0,5,4,6,0.92
N-methyl-benzenesulfonamide,1,0,0,0,0,2,0,0,171.214,5.904,367.128,82.758,94.677,187.917,1.776,575.787,1,4.5,0.0605416,0.0122573,0.9117059,17.399,5.848,9.929,7.981,0.675,-1.324,-1.466,-3.857,1253.354,-0.312,645.778,-2.41,10.034,0.621,0,-0.652,3,87.181,0,0,49.942,3,0,6,0,6,0,11,0.92
dapsone80-08-0,0,0,0,0,0,4,0,-2,248.299,8.964,463.283,0,189.421,273.861,0,774.122,3,6,0.1037959,0.0224319,0.8800866,24.873,9.371,17.341,13.407,0.529,-2.241,-2.387,-4.778,158.349,-1.308,67.489,-3.662,8.853,0.305,2,-0.491,3,69.903,0,0,86.13,4,0,12,0,12,0,17,0.97
quinazoline253-82-7,2,0,0,0,0,0,0,1,130.149,3.347,321.764,0,50.72,271.044,0,491.678,0,2.5,0.0227795,0,0.9362995,16.111,5.226,6.445,5.145,1.252,-1.006,-1.054,-3.855,3272.802,0.178,1782.039,-1.499,9.324,1.229,2,-0.623,3,100,0,0,25.307,2,0,10,0,10,0,10,1
aminopyrine,0,1,0,0,0,1,1,2,231.297,6.762,486.165,263.292,35.805,187.069,0,831.384,0,5,0.0549955,0,0.8795264,28.262,7.565,12.164,7.109,1.728,-1.43,-1.121,-5.1,1130.476,0.593,624.883,-3.487,7.965,0.279,3,-0.348,3,100,0,0,36.619,4,0,11,0,11,0,17,1
sulfisoxazole127-69-5,0,0,0,0,0,4,0,-2,267.302,7.955,491.723,154.666,174.988,162.069,0,825.294,2.5,7,0.0766758,0.0225086,0.8653341,25.854,8.794,16.842,12.869,0.498,-2.465,-2.522,-4.484,217.015,-1.236,94.88,-3.79,9.169,0.697,3,-0.514,3,66.231,0,0,100.032,6,0,11,0,11,0,18,1.01
sultopride,0,1,0,0,0,7,0,1,354.463,10.513,626.653,438.296,107.353,80.315,0.688,1134.991,1,9.25,0.097386,0.014761,0.8397169,35.541,10.319,18.984,11.536,1.377,-1.967,-2.454,-5.235,237.011,-0.473,116.466,-4.606,9.259,0.639,2,-0.403,3,77.263,0,0,76.749,6,0,11,0,11,4,24,1.06
aldosterone,0,0,0,0,0,5,1,-2,360.449,4.858,564.681,348.665,187.375,28.641,0,1075.75,2,9.4,0.0219391,0.0235418,0.8991582,33.961,10.36,19.488,13.633,0.917,-2.732,-3.693,-3.3,165.585,-1.283,70.828,-4.392,9.851,0.6,5,-0.334,3,54.732,0,0,116.023,5,0,17,0,17,14,26,1.08
methane,15,0,0,0,0,0,0,2,16.043,0,162.113,162.113,0,0,0,189.51,0,0,0,0,0.984239,1.43,-0.136,-0.908,-1.734,1.096,-0.664,-0.664,-1.787,9906.038,0.517,5899.293,-1.928,13.629,-4.227,0,-0.832,3,100,0,0,0,0,0,0,0,0,0,1,1.09
benzylalcohol,4,0,0,0,0,2,0,1,108.14,2.076,309.775,51.938,53.05,204.786,0,462.129,1,1.7,0.0093274,0.0054879,0.9331714,13.012,4.635,6.031,4.916,1.298,-1.019,-0.995,-3.59,3110.444,0.037,1686.68,-1.584,9.53,-0.271,1,-0.527,3,100,0,0,22.612,1,0,6,0,6,0,8,1.1
dimethylsulfide,12,0,0,0,0,0,0,1,62.129,1.823,236.898,185.178,0,0,51.72,321.083,0,0.5,0.0103521,0,0.9572287,6.696,1.586,1.517,0.8,1.448,-0.729,-0.729,-2.224,9906.038,0.334,10000,-1.52,8.898,-0.446,0,-0.584,3,100,0,0,0,0,0,0,0,0,0,3,1.1
codeine,0,1,0,0,0,2,0,2,299.369,3.638,497.273,320.405,34.436,142.432,0,905.447,1,5.2,0.0146148,0.010457,0.9102192,30.158,8.366,13.828,8.264,2.235,-2.016,-2.847,-4.39,1164.773,0.564,645.4,-3.523,8.85,-0.091,5,0.039,3,100,0,0,38.732,4,0,18,0,18,8,22,1.14
chloramphenicol,0,0,0,0,1,7,0,-2,323.132,8.761,529.397,80.653,200.769,122.5,125.474,902.2,3,6.9,0.0850668,0.022575,0.8529404,26.627,10.404,18.466,14.756,0.529,-2.257,-3.022,-3.121,77.7,-1.39,251.342,-4.116,10.436,1.321,4,-0.803,2,57.508,0,25.325,116.426,7,0,6,0,6,0,20,1.14
phthalimide85-41-6,3,0,0,0,0,0,0,-1,147.133,3.896,304.156,0,132.101,172.055,0,474.965,1,3,0.0319617,0.0098634,0.9679285,14.497,5.516,8.025,6.939,0.358,-0.994,-1.448,-2.871,553.593,-0.377,261.078,-3.348,10.352,1.504,0,-0.563,3,77.175,0,0,75.667,3,0,9,0,9,0,11,1.15
acetanilide,0,0,0,0,0,1,0,1,135.165,5.016,361.484,94.392,58.079,209.012,0,547.52,1,2.5,0.045951,0.0069159,0.8953833,17.112,5.255,8.393,6.112,1.499,-1.885,-1.346,-4.222,2786.977,0.02,1497.913,-1.758,8.758,-0.016,1,-0.389,3,100,0,0,38.193,2,0,6,0,6,0,10,1.16
nicotine,0,1,0,0,0,0,0,2,162.234,2.406,396.582,219.263,30.236,147.083,0,644.025,0,3.5,0.008988,0,0.9094266,21.025,5.568,8.171,5.327,1.228,-0.68,-0.149,-4.425,1276.658,0.718,712.662,-3.621,9.413,0.053,4,-0.449,3,100,0,0,17.432,2,0,11,0,11,4,12,1.17
aspirin,1,0,0,1,0,2,1,-1,180.16,2.551,383.198,88.006,137.244,157.948,0,610.999,1,4.5,0.0106514,0.0117433,0.9087316,18.522,6.273,9.788,8.105,1.062,-1.569,-1.652,-1.955,125.319,-0.665,66.658,-3.3,9.822,0.703,0,-0.733,3,65.152,0,0,84.264,4,0,6,0,6,0,13,1.19
minoxidil38304-91-5,1,0,0,0,0,2,0,-1,209.25,2.886,432.219,218.579,164.275,49.366,0,704.274,4,3.5,0.0118268,0.0161955,0.8857056,21.218,7.162,14.487,11.077,0.625,-2.262,-2.085,-3.617,274.21,-0.953,122.176,-4.181,7.344,-0.135,1,-0.396,3,61.607,0,0,82.912,6,0,12,0,12,5,15,1.24
scopolamine,0,1,0,0,0,5,2,1,303.357,2.681,541.318,291.792,74.084,175.442,0,971.714,0,6.7,0.0073984,0,0.8764721,31.199,9.093,13.523,8.216,1.537,-0.934,-2.069,-5.094,490.072,0.018,253.185,-3.849,9.461,-0.108,4,-0.566,3,91.333,0,0,69.046,5,0,15,3,12,7,22,1.24
PNU0141518,0,0,0,0,1,2,0,-1,316.356,9.892,579.398,335.752,103.522,140.125,0,1014.453,1,7.7,0.0964574,0.0132897,0.842706,34.498,9.568,17.986,13.018,1.275,-3.033,-2.789,-3.371,688.484,-0.529,512.507,-2.742,8.644,0.305,3,-0.512,3,82.003,0,22.149,88.181,6,0,17,0,17,5,23,1.26
methylbutyrate,8,0,0,0,0,2,1,0,102.133,2.684,330.601,270.585,60.016,0,0,485.161,0,2,0.0148531,0,0.9032018,11.978,2.94,4.101,2.452,1.071,-1.109,-0.606,-3.098,2671.579,-0.048,1430.987,-2.434,11.128,-1.029,1,-0.593,3,83.509,0,0,37.463,2,0,0,0,0,0,7,1.29
N-methylphthalimide550-44-7,2,0,0,0,0,0,0,0,161.16,3.943,356.857,80.943,103.855,172.059,0,560.74,0,3,0.0277206,0,0.9215349,17.93,5.497,7.498,5.41,0.975,-1.409,-1.576,-3.622,1025.755,-0.252,508.495,-2.827,10.139,1.445,0,-0.557,3,83.963,0,0,61.504,3,0,9,0,9,0,12,1.31
benzimidazole51-17-2,5,0,0,0,0,0,0,1,118.138,4.712,303.49,0,59.777,243.712,0,453.396,1,1.5,0.0489749,0.0049425,0.9404587,14.318,4.943,7.1,5.456,1.314,-1.275,-1.259,-3.658,2685.542,0.113,1439.073,-1.763,8.767,0.14,0,-0.437,3,100,0,0,28.616,2,0,9,0,9,0,9,1.32
benzidine,2,0,0,0,0,3,0,-1,184.24,0.923,416.957,0,121.409,295.548,0,670.503,3,2,0.0012704,0.0083081,0.8885346,21.576,8.038,12.359,9.261,1.67,-2.209,-2.142,-4.745,699.163,-0.643,336.014,-2.428,7.846,0.045,3,-0.292,3,87.632,0,0,51.676,2,0,12,0,12,0,14,1.34
Furan,12,0,0,0,0,0,0,0,68.075,0.622,212.923,0,0,212.923,0,297.169,0,0.5,0.0013021,0,1.0114529,7.772,3.202,1.926,2.172,1.312,-0.518,-0.518,-2.362,9906.038,-0.037,5899.293,-0.769,9.395,-0.644,0,-0.653,3,100,0,0,8.922,1,0,5,0,5,0,5,1.34
p-hydroxybenzaldehyde,3,0,0,0,0,2,0,-1,122.123,4.746,314.438,17.994,132.153,164.291,0,472.356,1,2.75,0.0476762,0.0087458,0.9328464,13.034,5.019,7.457,6.224,0.403,-0.883,-1.01,-3.402,552.963,-0.57,260.756,-3.184,9.453,0.469,1,-0.637,3,76.667,0,0,59.829,2,0,6,0,6,0,9,1.35
valericacid,8,0,0,1,0,3,0,-1,102.133,2.289,314.424,205.452,108.971,0,0,464.555,1,2,0.0112803,0.0063608,0.922588,10.511,3.491,5.238,3.99,1.096,-0.874,-0.804,-0.977,232.341,-0.471,129.911,-3.24,11.356,-0.905,1,-0.766,3,61.858,0,0,51.559,2,0,0,0,0,0,7,1.39
coumarin,2,0,0,0,0,0,1,1,146.145,6.501,331.866,0,72.697,259.169,0,515.457,0,2.5,0.0820015,0,0.9368358,16.95,5.564,7.642,5.238,1.241,-1.197,-1.45,-3.79,2025.413,0.011,1060.852,-1.946,9.349,1.185,0,-0.554,3,100,0,0,40.503,2,0,10,0,10,0,11,1.39
ethylchloride,13,0,0,0,0,0,0,2,64.514,2.545,227.238,153.669,0,0,73.569,301.86,0,0,0.0214612,0,0.957681,5.926,1.504,1.245,0.292,1.37,-0.959,-0.959,-2.217,9906.038,0.5,10000,-1.52,10.418,-1.242,0,-0.506,3,100,0,0,0,0,0,0,0,0,0,3,1.43
amantadine,4,1,0,0,0,1,0,2,151.251,1.22,352.837,305.184,47.653,0,0,576.835,2,1,0.0025798,0.0040081,0.9497839,16.289,4.807,7.87,4.586,1.293,-0.595,-0.689,-3.071,872.779,0.55,472.448,-4.364,9.378,-3.015,0,-0.213,3,86.479,0,0,24.695,1,0,10,0,10,10,11,1.44
Phenol,6,0,0,0,0,1,0,1,94.113,1.474,278.387,0,54.651,223.736,0,403.025,1,0.75,0.0053939,0.0026941,0.9478449,11.47,4.277,5.024,4.265,1.263,-0.805,-0.904,-3.443,3003.614,0.098,1624.152,-1.643,9.106,-0.228,1,-0.523,3,100,0,0,22.53,1,0,6,0,6,0,7,1.46
prednisone,0,0,0,0,0,4,1,-2,358.433,10.129,569.305,288.814,193.451,87.04,0,1071.722,2,8.45,0.0957235,0.0209907,0.8896275,34.999,10.74,20.477,13.367,1.266,-3.225,-4.014,-3.733,145.011,-1.307,61.366,-4.394,9.729,0.768,5,-0.16,3,57.002,0,0,113.048,5,0,17,0,17,11,26,1.46
cortisone,0,0,0,0,0,4,1,-2,360.449,7.153,563.702,350.481,184.931,28.291,0,1076.659,2,8.45,0.0475277,0.0211993,0.9012267,34.636,10.357,19.59,12.896,1.298,-3.14,-4.059,-3.265,174.662,-1.196,75.034,-4.444,9.67,0.467,6,-0.137,3,55.297,0,0,111.053,5,0,17,0,17,13,26,1.47
phenobarbital,1,0,0,0,0,1,0,0,232.238,1.168,391.996,97.987,134.731,159.278,0,691.047,2,4,0.0019753,0.0144309,0.9643219,22.381,7.831,12.357,9.311,1.15,-2.028,-2.835,-2.869,522.694,-0.463,245.363,-3.345,9.836,0.617,1,-0.232,3,75.727,0,0,100.37,5,0,12,0,12,1,17,1.47
1;2-dichloroethane,13,0,0,0,0,0,0,1,98.96,3.532,249.925,112.04,0,0,137.886,344.815,0,0,0.0361883,0,0.9515065,7.645,2.41,2.349,0.369,1.873,-1.406,-1.406,-2.317,9906.038,0.416,10000,-1.52,10.511,-0.889,0,-0.381,3,100,0,0,0,0,0,0,0,0,0,4,1.48
benzaldehyde,4,0,0,0,0,1,0,0,106.124,3.692,302.071,17.977,77.483,206.611,0,449.627,0,2,0.030317,0,0.9396314,13.171,4.527,5.251,4.128,0.96,-0.731,-0.705,-3.494,1824.443,-0.082,947.547,-2.124,9.927,0.541,0,-0.654,3,92.507,0,0,37.291,1,0,6,0,6,0,8,1.48
1-pentanol,9,0,0,0,0,4,0,0,88.149,1.915,314.297,258.01,56.287,0,0,461.864,1,1.7,0.0079422,0.0054089,0.9193917,9.761,3.052,4.468,3.115,1.031,-0.771,-0.597,-2.836,2898.224,-0.122,1562.644,-2.173,10.906,-2.969,1,-0.616,3,84.405,0,0,23.063,1,0,0,0,0,0,6,1.51
propoxur114-26-1,0,0,0,0,0,3,0,0,209.244,4.686,475.656,268.136,61.476,146.044,0,775.075,1,3.75,0.0283363,0.0078838,0.8578956,24.333,6.983,11.127,6.772,2.321,-3.165,-2.55,-4.528,2587.732,-0.174,1382.506,-1.85,8.933,-0.153,1,-0.105,3,92.485,0,0,54.584,4,0,6,0,6,0,15,1.52
sulfaphenazole526-08-9,0,0,0,0,0,4,0,-2,314.361,5.399,547.566,0,155.662,391.323,0.581,949.24,2.5,6.5,0.0307123,0.0187692,0.8530596,33.003,11.451,18.714,13.939,1.788,-3.414,-3.697,-5.776,330.947,-1.102,150.816,-2.626,9.05,0.55,1,-0.183,3,85.518,0,0,89.227,6,0,17,0,17,0,22,1.52
PNU0172660,0,0,0,0,0,2,0,-1,353.411,8.8,607.676,351.907,73.933,84.077,97.76,1066.02,1,8.2,0.0726405,0.013494,0.8304934,36.027,9.668,18.683,11.391,2.515,-4.487,-4.074,-4.676,1971.505,-0.032,3536.057,-2.394,8.84,0.927,1,-0.165,3,85.534,33.93,0,75.745,6,0,17,0,17,6,24,1.55
benzonitrile,6,0,0,0,0,1,0,0,103.123,5.696,304.151,0,71.99,232.161,0,445.8,0,1.5,0.0727823,0,0.9279023,13.262,4.485,5.591,3.777,1.247,-2.033,-1.877,-3.806,2056.909,-0.054,1078.694,-1.932,10.049,0.581,0,-0.532,3,95.459,0,0,25.794,1,0,6,0,6,0,8,1.56
clonidine,0,0,1,0,0,2,0,1,230.096,6.158,427.542,119.54,51.963,138.703,117.335,689.741,2,2.5,0.0549828,0.0082694,0.8830335,21.49,7.201,11.887,7.037,2.595,-3.219,-2.068,-4.086,3185.159,0.287,7602.169,-3.859,8.276,0.61,1,-0.144,3,94.303,0,0,36.056,3,0,11,0,11,2,14,1.57
acetophenone,4,0,0,0,0,1,0,1,120.151,3.896,329.378,81.898,52.093,195.387,0,502.136,0,2,0.0302236,0,0.9275791,15.165,4.72,5.782,3.944,1.465,-1.249,-1.053,-3.636,3176.159,0.1,1725.23,-1.695,9.912,0.493,0,-0.502,3,100,0,0,28.902,1,0,6,0,6,0,9,1.58
Phenacetin,0,0,0,0,0,3,0,0,179.218,3.715,440.762,234.728,56.175,149.859,0,693.684,1,3.25,0.0198965,0.0073736,0.8598098,21.112,6.124,9.591,6.185,2.052,-2.715,-2.058,-4.515,2905.308,-0.124,1566.772,-1.739,8.43,-0.061,1,-0.23,3,94.003,0,0,45.863,3,0,6,0,6,0,13,1.58
benzoxazole,6,0,0,0,0,0,0,1,119.123,1.727,284.962,0,30.136,254.826,0,431.307,0,2,0.0069148,0,0.9688017,13.54,4.684,4.982,4.313,1.225,-0.57,-1.027,-3.252,5129.98,0.349,2896.683,-1.177,9.332,0.498,0,-0.665,3,100,0,0,22.973,2,0,9,0,9,0,9,1.59
nalidixicacid389-08-2,0,0,0,1,0,2,0,-1,232.238,8.254,466.689,212.976,149.858,103.856,0,771.769,0,4.5,0.0882707,0,0.8718918,24.44,7.135,11.378,6.559,1.739,-2.379,-2.598,-2.293,95.148,-0.871,49.495,-3.724,8.875,0.858,1,-0.591,3,58.666,0,0,88.294,5,0,10,0,10,0,17,1.59
p-cyanophenol,3,0,0,0,0,2,0,-1,119.123,5.769,316.471,0,126.619,189.851,0,468.447,1,2.25,0.0710528,0.0071097,0.9217331,13.122,4.989,7.534,5.873,0.617,-2.02,-2.082,-3.704,623.976,-0.551,297.133,-2.992,9.54,0.497,1,-0.585,3,79.629,0,0,48.313,2,0,6,0,6,0,9,1.6
hydrocortisone,0,0,0,0,0,5,0,-2,362.465,7.974,576.756,372.381,175.553,28.823,0,1094.761,3,8.15,0.0580746,0.0244752,0.8906739,34.723,10.641,20.952,13.816,1.473,-3.307,-4.077,-3.438,214.352,-1.213,93.622,-4.173,9.577,0.33,5,-0.089,3,57.585,0,0,105.167,5,0,17,0,17,14,26,1.61
prednisolone50-24-8,0,0,0,0,0,5,0,-2,360.449,7.078,571.219,299.176,186.067,85.976,0,1081.746,3,8.15,0.0463081,0.0247124,0.8921659,34.748,11.008,20.944,14.263,1.393,-3.226,-4.033,-3.687,170.383,-1.296,73.049,-4.166,9.79,0.889,4,-0.117,3,58.708,0,0,107.816,5,0,17,0,17,12,26,1.62
